,DP,EO,DP ratio,acc,acc_ci_min,acc_ci_max,f1,acc_high_risk,acc_ci_min_high_risk,acc_ci_max_high_risk,f1_high_risk,adversarial_fraction
207,0.59392749244713,0.6569014084507042,3.0060204081632658,0.6242937853107344,0.5951656617440649,0.6534219088774039,0.6241468223873805,0.6892655367231638,0.6614311403993924,0.7170999330469352,0.47117938194109127,0.0
208,0.3952794561933535,0.26985915492957746,0.4210730088495575,0.7740112994350282,0.7488570811201036,0.7991655177499528,0.7740040858018387,0.8700564971751412,0.849833532416079,0.8902794619342035,0.48598484848484846,0.0
209,0.5806948640483385,0.7855774647887324,2.7633944954128444,0.6506591337099812,0.6219846719434585,0.6793335954765038,0.6506340427909055,0.8013182674199624,0.77732025333303,0.8253162815068947,0.5026092360964673,0.0
210,0.15991691842900302,0.1220281690140845,0.7723333333333333,0.7862523540489642,0.7615961927461699,0.8109085153517586,0.7839767089052236,0.8709981167608286,0.850837656341716,0.8911585771799412,0.46552591847005537,0.0
211,0.13897280966767367,0.05769014084507043,0.7825059101654847,0.7231638418079096,0.6962532300014026,0.7500744536144166,0.722548838399636,0.8691148775894538,0.8488297591920525,0.8893999959868552,0.4649874055415617,0.0
212,0.40682024169184294,0.572056338028169,1.7738936781609196,0.608286252354049,0.5789278633577186,0.6376446413503793,0.6005280575799772,0.8700564971751412,0.849833532416079,0.8902794619342035,0.4652567975830816,0.0
213,0.3777945619335347,0.33205633802816903,0.5436131386861314,0.5998116760828626,0.5703448420216414,0.6292785101440838,0.5911014396382015,0.7589453860640302,0.7332203021670867,0.7846704699609737,0.5086176980913822,0.0
214,0.4918580060422961,0.4037183098591549,0.41225631768953064,0.6563088512241054,0.62774399006347,0.6848737123847408,0.651938657589278,0.8512241054613936,0.8298207405989266,0.8726274703238606,0.48374909238588676,0.0
215,0.10933534743202411,0.18422535211267604,0.8234634146341464,0.748587570621469,0.7224955032488327,0.7746796379941052,0.7482122925366932,0.8389830508474576,0.8168772525279824,0.8610888491669328,0.5301650872005029,0.0
216,0.7110876132930514,0.45498591549295775,0.2443980738362761,0.519774011299435,0.48972543339590957,0.5498225892029605,0.5110320670229669,0.867231638418079,0.8468232520501868,0.8876400247859713,0.46444780635400906,0.0
217,0.44664652567975827,0.4292957746478874,0.4462921348314607,0.7071563088512242,0.679786645269131,0.7345259724333173,0.7042654181205728,0.8662900188323918,0.8458205118736145,0.886759525791169,0.4778037868609499,0.0
218,0.21674471299093656,0.17419718309859156,0.7107157258064516,0.7269303201506592,0.7001338897129155,0.7537267505884029,0.7223774685671223,0.8709981167608286,0.850837656341716,0.8911585771799412,0.46552591847005537,0.0
219,0.4171676737160121,0.40529577464788735,0.4847667910447761,0.71939736346516,0.6923749516921415,0.7464197752381786,0.7157683727246273,0.867231638418079,0.8468232520501868,0.8876400247859713,0.47140492016817104,0.0
220,0.5106419939577039,0.6591549295774648,2.515896860986547,0.603578154425612,0.5741583786154557,0.6329979302357683,0.6035356200059767,0.7410546139359698,0.7147081090955071,0.7674011187764326,0.47925860547219773,0.0
221,0.4838141993957704,0.5628169014084508,2.260964566929134,0.6497175141242938,0.6210252175281118,0.6784098107204758,0.6494738523237449,0.7994350282485876,0.7753518975224835,0.8235181589746917,0.49042947411103477,0.0
222,0.4297960725075528,0.7090704225352112,1.939026402640264,0.6318267419962336,0.602818665299335,0.6608348186931321,0.6294530076680834,0.8540489642184558,0.8328146231457053,0.8752833052912062,0.5122999025251612,0.0
223,0.1871978851963746,0.06411267605633802,0.6878463476070529,0.699623352165725,0.6720519378370458,0.7271947664944043,0.6995911229974028,0.7495291902071564,0.7234696560218948,0.7755887243924179,0.5342719599050383,0.0
224,0.7726510574018127,0.8309859154929577,0.18681240063593002,0.6129943502824858,0.5837002137434775,0.6422884868214942,0.6073795891932734,0.8709981167608286,0.850837656341716,0.8911585771799412,0.4726854284834098,0.0
225,0.38293806646525674,0.2580281690140845,0.45716274089935766,0.7824858757062146,0.7576730743872669,0.8072986770251623,0.782383805768574,0.8709981167608286,0.850837656341716,0.8911585771799412,0.46552591847005537,0.0
226,0.9029078549848943,0.8450704225352113,0.013655115511551155,0.5706214689265536,0.5408508386209299,0.6003920992321774,0.5700710227272727,0.7024482109227872,0.6749514048143261,0.7299450170312483,0.5832294279824147,0.0
227,0.4658157099697885,0.519887323943662,0.43932727272727273,0.7033898305084746,0.675918172330943,0.7308614886860062,0.6993569782019655,0.8691148775894538,0.8488297591920525,0.8893999959868552,0.47204429137026427,0.0
228,0.5052870090634441,0.3548169014084508,3.064814814814815,0.5998116760828626,0.5703448420216414,0.6292785101440838,0.5953915786586201,0.6694915254237288,0.6411999159360035,0.6977831349114542,0.4724889371294982,0.0
229,0.953225075528701,0.9699154929577465,25.270576923076923,0.4783427495291902,0.4482988684172435,0.508386630641137,0.46772407503908286,0.5696798493408662,0.5399011939749371,0.5994585047067954,0.40312351267889357,0.0
230,0.9265558912386707,0.9135774647887324,15.604285714285714,0.4453860640301318,0.4154938891756056,0.47527823888465803,0.4362767760826013,0.544256120527307,0.5143020466712546,0.5742101943833594,0.3869179389312977,0.0
231,0.1330891238670695,0.11594366197183101,0.7969930875576037,0.7476459510357816,0.7215215137591969,0.7737703883123662,0.7465447965348228,0.8709981167608286,0.850837656341716,0.8911585771799412,0.46552591847005537,0.0
232,0.39961480362537766,0.4292957746478874,0.5017984934086629,0.6902071563088512,0.6623959880529054,0.718018324564797,0.6862679954708835,0.8709981167608286,0.850837656341716,0.8911585771799412,0.46552591847005537,0.0
233,0.16090634441087615,0.05453521126760563,0.7704310344827586,0.7052730696798494,0.677852127446207,0.7326940119134917,0.7022505475212626,0.8653483992467044,0.844818109878448,0.8858786886149608,0.4707671934623896,0.0
234,0.3486027190332326,0.3708169014084507,1.842244525547445,0.632768361581921,0.6037758235003505,0.6617608996634914,0.6327566394279878,0.8022598870056498,0.7783047454800489,0.8262150285312506,0.46758021390374327,0.0
235,0.2007703927492448,0.2661408450704225,1.332275,0.6789077212806026,0.6508266211506866,0.7069888214105187,0.6724602787699103,0.8709981167608286,0.850837656341716,0.8911585771799412,0.46552591847005537,0.0
236,0.5449773413897281,0.4567887323943662,0.303523166023166,0.6949152542372882,0.6672222557315467,0.7226082527430296,0.6944818351973463,0.8700564971751412,0.849833532416079,0.8902794619342035,0.4652567975830816,0.0
