,DP,EO,DP ratio,acc,acc_ci_min,acc_ci_max,f1,acc_high_risk,acc_ci_min_high_risk,acc_ci_max_high_risk,f1_high_risk,adversarial_fraction
163,0.3334800792427911,0.16377195564713964,0.54049135577798,0.7184557438794726,0.6914057507348393,0.7455057370241059,0.7169678629842724,0.876647834274953,0.8568699521334235,0.8964257164164824,0.6044107903993085,0
164,0.33590138674884434,0.23766068099303309,0.5371549893842887,0.71939736346516,0.6923749516921415,0.7464197752381786,0.7179529226392696,0.8785310734463276,0.858883678592235,0.8981784683004203,0.6104503203168763,0
165,0.31322914373761834,0.17643018349524092,0.5693099273607748,0.7090395480225988,0.6817217289685132,0.7363573670766844,0.707073709580237,0.8757062146892656,0.8558636531396067,0.8955487762389245,0.6148452611218569,0
166,0.32907770195905794,0.26503777843194976,0.5513205282112845,0.7146892655367232,0.6875304079089115,0.7418481231645349,0.7127615987146013,0.8757062146892656,0.8558636531396067,0.8955487762389245,0.5911190965092403,0
167,0.3275368699097513,0.2144048670395447,0.5524812030075188,0.7250470809792844,0.6981932602981712,0.7519009016603976,0.7232321357171416,0.876647834274953,0.8568699521334235,0.8964257164164824,0.6004021197455156,0
168,0.32445520581113796,0.20949857717593956,0.5548172757475084,0.7156308851224106,0.6884990253465859,0.7427627448982352,0.713840619278579,0.8709981167608286,0.850837656341716,0.8911585771799412,0.5903919730407683,0
169,0.31058771736737834,0.17643018349524092,0.5655788177339902,0.7052730696798494,0.677852127446207,0.7326940119134917,0.7037957831760111,0.8700564971751412,0.849833532416079,0.8902794619342035,0.5934285428942374,0
170,0.3229143737618314,0.1862427632224512,0.5559927360774818,0.7184557438794726,0.6914057507348393,0.7455057370241059,0.7167254706924007,0.8728813559322034,0.852846969445884,0.8929157424185228,0.5882006577530123,0
171,0.3253356812678847,0.18418212147973703,0.5526634382566585,0.7156308851224106,0.6884990253465859,0.7427627448982352,0.7139253603539317,0.876647834274953,0.8568699521334235,0.8964257164164824,0.6083310107178148,0
172,0.2920977327756989,0.13560985183004615,0.5905584696081456,0.7033898305084746,0.675918172330943,0.7308614886860062,0.7016542656938525,0.8775894538606404,0.8578766260429197,0.897302281678361,0.6132339757956073,0
173,0.32555580013207136,0.20949857717593956,0.5494974109046603,0.7259887005649718,0.6991634998764068,0.7528139012535368,0.7245406291920511,0.8775894538606404,0.8578766260429197,0.897302281678361,0.6054526748971194,0
174,0.3097072419106318,0.2115592189186537,0.5777310924369747,0.7222222222222222,0.6952834383366038,0.7491610061078406,0.7199815162238039,0.8747645951035782,0.8548577254070532,0.8946714648001032,0.594301388749264,0
175,0.3059652212194585,0.19890099107055248,0.5792978208232445,0.696798493408663,0.6691537163480149,0.724443270469311,0.6946051954732511,0.8775894538606404,0.8578766260429197,0.897302281678361,0.6054526748971194,0
176,0.3325996037860445,0.2144048670395447,0.5426755447941889,0.7203389830508474,0.693344299641867,0.7473336664598279,0.718782849189954,0.867231638418079,0.8468232520501868,0.8876400247859713,0.6019141045579615,0
177,0.3143297380585516,0.18133647335884603,0.5641025641025641,0.7231638418079096,0.6962532300014026,0.7500744536144166,0.7215839578258032,0.8738229755178908,0.8538521653492598,0.8937937856865218,0.5891659064401769,0
178,0.3033237948492185,0.16867824551074478,0.5757389162561577,0.7231638418079096,0.6962532300014026,0.7500744536144166,0.7216623876765083,0.8738229755178908,0.8538521653492598,0.8937937856865218,0.5973676169350731,0
179,0.3270966321813779,0.2144048670395447,0.5483282674772036,0.7212806026365348,0.6943137950374465,0.7482474102356231,0.7197689345314506,0.8738229755178908,0.8538521653492598,0.8937937856865218,0.5933127572016461,0
